"SiteNo","SiteName","StreetAddress","CityStateZip","County","InspectionType","InspectionDate","PermitNo","NPDESNo","ComplaintTrackingNo","InspectionReason","SiteStatus","SiteCondition","RecommendedActions","ComplianceAssist","Latitude","Longitude","Type","EnforcementAction","EnforcementActionNo","EnforcementActionIssued","CaseClosed","Media","Program","EnfIssue","ResolvedDate","ViolationSNCDate","MarkerShape","MarkerSize","InspectionCount","Construction"
"160041","Sharptown Dollar General",", SW Intersection State & Sharptown Rd","Sharptown,MD,21836","Wicomico","NPDES Construction Activity",2018-07-18,"18-WI-0037","MDRCW03LK",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.5351200350243,-75.7238899147871,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,1
"158562","Allegany Coal and Land FHO","Victoria Lane","Frostburg,MD,21532","Allegany","Sediment_Erosion",2018-01-30,"18-AL-0006",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.657470787688,-78.9122828877582,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"153775","Duda Residence","100 N. Governor Way","Queenstown,MD,21658","Queen Anne's","Sediment_Erosion",2018-01-30,"17-QA-0004",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.9579709988023,-76.1650719750895,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"159658","Allegany Coal & Land FHO","w of Victoria Lane & E of Depot St. Ext","Frostburg,MD,21532","Allegany","Sediment_Erosion",2018-01-30,"18-AL-0027",NA,NA,NA,"Complete","UNKNOWN","Close File","N",39.657470787688,-78.9122828877582,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"159726","Wilma Klink FHO","east of Depot Street","Frostburg,MD,21532","Allegany","Sediment_Erosion",2018-01-30,"18-AL-0037",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.6572404328008,-78.924084273038,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"147983","ADA Site Access modifications at Rocky Gap State park","39.713398 -78.646175","Flintstone,MD,21530","Allegany","State_federal SWM",2018-03-16,"15-SF-0269","MDRCAS0KQ",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.7035850000648,-78.5688399998367,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,0
"160233","Poole Farm Pond","Oakley Road and Farrell Way","Abell,MD,20606","St. Mary's","Sediment_Erosion",2018-01-31,"16-SM-0143",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.2696000341475,-76.7472498851588,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"160156","Donald E. Ruby Property","1635 Brodbeck Rd.","Hampstead,MD,21074","Carroll","Waterway Construction",2020-09-10,NA,NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Additional Investigation Required","N",39.620256013779,-76.8743229736108,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,13,0
"155317","Rebekah and Ellis Nottingham","20495 Waterloo Lane","Coltons Point,MD,20626","St. Mary's","Tidal Wetlands",2018-01-31,"17-GL-0012",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.2312799842167,-76.7793639738464,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"159283","Williams Refuge","23695 East Plum Lane","Chaptico,MD,20621","St. Mary's","Sediment_Erosion",2018-01-31,"18-SM-0081",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.3189390173196,-76.7882040313511,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"288","Pritchard Brown, LLC","6501 Erdman Ave","Baltimore,MD,21205","Baltimore City","NPDES Industrial Stormwater",2018-01-31,"12SR3181",NA,NA,NA,"Active","Noncompliance","Additional Investigation Required","N",39.3006260086484,-76.5386280029124,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"88560","James and Brandi Lynn Moran","26080 S Sandgates Road","Hollywood,MD,20650","St. Mary's","Tidal Wetlands",2018-01-31,"17-PR-0135",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.3911479813037,-76.5882819777969,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"160234","Wildewood Technology Park Lot 10","44417 Pecan Ct","California,MD,20619","St. Mary's","Sediment_Erosion",2018-01-31,"14-SM-0228",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.3080230130805,-76.539590999592,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"137161","Robert Kline Farm","15602 Lohr Rd","Thurmont,MD,21788","Frederick","Nontidal Wetlands",2020-11-16,NA,NA,"18-1058",NA,"Active - No work today","Additional Investigation Required","Additional Investigation Required","N",39.6624179929636,-77.3723220158714,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,25,1
"151191","World Recycling Company","2740 Wilmarco Avenue","Baltimore,MD,21223","Baltimore City","NPDES Industrial Stormwater",2021-02-25,NA,NA,NA,NA,"Active","UNKNOWN","Continue Routine Inspection","N",39.273497014752,-76.6597910113298,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,5,0
"158157","CL Bureau of Resources-Central Maryland Service and Distribution Center","Klee Mill Rd South and Energetic Endeavor Dr, 39.430803,-76.992933","Eldersburg,MD,21784","Carroll","Nontidal Wetlands",2019-06-07,"17-NT-3237",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.4052172746883,-76.9569682249898,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,31,1
"21853","Green Ridge Youth Camp","10700 Fifteenmile Creek Rd","Flintstone,MD,21530","Allegany","NPDES Municipal Major Surface Water",2018-02-01,"09-DP-0857",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.6776216676578,-78.4579455265326,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"155828","Scott and Teresa Canning","16410 Fisherman Way","Ridge,MD,20680","St. Mary's","Tidal Wetlands",2019-09-05,"17-GL-0149",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","Y",38.1179170072024,-76.3528489865638,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2,4,1
"152675","Kline Farms LLC Motters Station Rd","15828 Motter Station Rd","Emmitsburg,MD,21727","Frederick","Sediment_Erosion",2018-02-01,NA,NA,"18-1066",NA,"Active - No work today","Additional Investigation Required","Additional Investigation Required,Refer to Others (See Findings)","N",39.6674260125935,-77.3553719634902,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"155647","Jonathan Lindsey","18158 Bowles Road","Lexington Park,MD,20653","St. Mary's","Tidal Wetlands",2019-03-01,"17-GL-0081",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.1662149994849,-76.4274100381897,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"160265","Dean Foster property","20915 Cedar Hill parkway","Bivalve,MD,21814","Wicomico","Nontidal Wetlands",2018-02-21,NA,NA,"18-4165",NA,"Active - No work today","Satisfactory/Compliance","Close File","N",38.3099340033615,-75.890893971916,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"133570","Flooring America Warehouse","22749 Maple Rd.","California,MD,20619","St. Mary's","Sediment_Erosion",2019-04-03,"17-SM-0146","MDRCT032H",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.2929440115781,-76.4944920024242,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,1
"155957","Moore Property","1730 Love Point Rd","Stevensville,MD,21666","Queen Anne's","Sediment_Erosion",2019-08-30,NA,NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.0220620059159,-76.3016610386187,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"4347","MDOT SHA - Princess Anne Shop","10980 Market Ln","Princess Anne,MD,21853","Somerset","NPDES Industrial Stormwater",2018-02-02,"12-SW-1313",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",38.1826100020968,-75.6918999624919,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"9283","United Iron And Metal, LLC","909 Millington Ave","Franklin,MD,21223","Baltimore City","NPDES Industrial Stormwater",2018-10-24,"12SR1216",NA,NA,NA,"Active","Noncompliance","Continue Routine Investigation","N",39.2779410162266,-76.6562430360634,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,8,0
"160232","695 Colora Road","695 Colora Road","Colora,MD,21917","Cecil","Nontidal Wetlands",2018-02-02,NA,NA,"184167",NA,"Inactive","Satisfactory/Compliance","Close File","N",39.6890250030062,-76.104957972121,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"155716","Building 8165 Addition","near Webster Field Rd, 38.135277, -76.430855","Saint Inigoes,MD,20684","St. Mary's","NPDES Construction Activity",2019-07-17,"17-SF-0120","MDRCTF069",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.1500363787397,-76.4231310157417,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,6,1
"84481","Charles Patrick","540 Rolling Hills Rd","Dowell,MD,20629","Calvert","Tidal Wetlands",2018-05-15,NA,NA,"18-2274",NA,"Inactive","Satisfactory/Compliance","Close File","N",38.3381119924057,-76.4511449895551,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2,3,1
"143275","MD SHA-Bridge No 0804700-MD 234","MD 234 over Gilbert Swamp Run","Charlotte Hall,MD,20622","St. Mary's","Waterway Construction",2018-09-18,"14-NT-0116",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",38.4099449998315,-76.8565000004201,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,0
"156192","Many Blessings Farm LLC","27993 Villa Rd","Easton,MD,21601","Talbot","Sediment_Erosion",2018-02-06,"17-TA-0066",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",38.79841501792,-76.0884179620394,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,1
"148906","The Hotel at UMCP","7777 Baltimore Ave","College Park,MD,20740","Prince George's","Nontidal Wetlands",2018-04-06,"15-NT-0088","MDRCQ01Q3",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.9868730582736,-76.935417827275,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,1
"21893","Sandy Hook WWTP","18954 Sandy Hook Rd","Knoxville,MD,21758","Washington","NPDES Municipal Minor Surface Water",2018-02-06,"13-DP-2728",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.3262019496658,-77.7091322261304,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"148529","Holly Ridge","555 Marley Neck Boulevard","Glen Burnie,MD,21060","Anne Arundel","NPDES Construction Activity",2018-10-09,NA,"MDRCB02AZ",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.1549689827971,-76.5801019951765,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",2,5,1
"157502","MD SHA-Bridge Nos 06020 and 06047-MD 91 over Branch of Patapsco River and Mildland RR","2700 Emory Rd","Patapsco,MD,21048","Carroll","Waterway Construction",2018-02-06,"17-NT-3183",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",39.5004400186042,-76.8833299991806,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"71840","Jack Meyerhoff","8788 Marengo Farm Rd","Easton,MD,21601","Talbot","Sediment_Erosion",2019-06-05,"16-WL-0020,18-TA-0020",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Close File,Continue Routine Inspection","N",38.7914369991346,-76.1855529886457,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2,7,1
"7867","Sport Systems, LLC","10078 Tyler Place","Ijamsville,MD,21754","Frederick","NPDES Industrial Stormwater",2018-05-18,"12-SW-3141",NA,NA,NA,"Active","Noncompliance","Additional Investigation Required","N",39.2904263089841,-77.3164842649466,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1,2,0
"142671","WLR Automotive Group","2260 Solomons Island Road","Huntingtown,MD,20639","Calvert","NPDES Industrial Ground Water",2020-01-30,"09-DP-3248",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.5828334396145,-76.6050361516321,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,8,0
"126133","Robinson Jr, Fred/revetment, Pier,","6006 CASTLE HAVEN RD","Cambridge,MD,21613","Dorchester","Nontidal Wetlands",2018-02-06,NA,NA,"18-4171",NA,"Active","Satisfactory/Compliance","Refer to Others (See Findings)","N",38.613546988483,-76.1931630018964,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"153777","The Tides","Piney Narrrows Rd & Swan Cove Rd","Chester,MD,21619","Queen Anne's","Sediment_Erosion",2018-12-11,"17-QA-0002",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",38.9749800596237,-76.2514799260374,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"160371","Alleged dumping across from Weaver's Marine services/PAF 18-2282","Directly across from Weaver's Marine Services","Essex,MD,21221","Baltimore","Tidal Wetlands",2018-02-06,NA,NA,"18-2282",NA,"Inactive","Satisfactory/Compliance","Refer to Others (See Findings)","N",39.3099250000225,-76.4458749995846,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"91557","Colton's Point Marina","38000 Kopels Rd","Coltons Point,MD,20626","St. Mary's","Tidal Wetlands",2018-10-29,"17-GL-0009",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.240499993817,-76.7634540313253,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"142965","Kent Manor Inn","500 Kent Manor Drive","Stevensville,MD,21666","Queen Anne's","Sediment_Erosion",2020-07-28,"18-QA-0015",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Close File","N",38.9643710010618,-76.3157309852996,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,6,1
"160028","Hallowing Pt. Liquor Store","3990-3992 Hallowing Point Road","Prince Frederick,MD,20678","Calvert","Sediment_Erosion",2019-04-17,"18-CA-0028",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",38.515162010744,-76.619759964042,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,1
"6899","Canton Metal Recycling (former Cambridge Iron & Metal Co. Inc)","901 S Kresson St","Highlandtown,MD,21224","Baltimore City","NPDES Industrial Stormwater",2019-01-28,"12SR0682",NA,"19-2183",NA,"Active","Noncompliance","Additional Investigation Required,Refer to Others (See Findings)","N",39.2821699794535,-76.5587999744513,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",2,3,0
"131560","CCIP Lot 32","5240 Cutter Court","Prince Frederick,MD,20678","Calvert","Sediment_Erosion",2018-02-07,"18-CA-0032",NA,NA,NA,"Inactive","Satisfactory/Compliance","Additional Investigation Required,Continue Routine Inspection","N",38.5076460001818,-76.6391830128234,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"156627","Ne4xt generation Jammer Pod Shop","PAX River, 38.266678 -76.399446","Patuxent River,MD,20670","St. Mary's","State_federal SWM",2020-02-13,"17-SF-0165",NA,NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",38.2731552997118,-76.4477043000831,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,7,0
"152642","AL DPW-Route 36-Barrelville","1100' north of Rt 36 and Rt 47 intersect","Mount Savage,MD,21545","Allegany","Waterway Construction",2018-02-08,"16-NT-3124",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.7006900558464,-78.8424799211382,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"154673","AL DPW-Prince Albert and Sunnyside","west and north of intersect of Rt 47 and 36","Mount Savage,MD,21545","Allegany","Sediment_Erosion",2018-02-08,"16-NT-3291,17-AL-0036","MDRCA0363",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.6960964998947,-78.8796824996848,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,1
"24415","Atria Manresa Nursing Home","85 Manresa Rd","Annapolis,MD,21409","Anne Arundel","NPDES Municipal Ground Water",2019-04-16,"DP-3390",NA,NA,NA,"Active","Additional Investigation Required","Additional Investigation Required","N",39.0063342970438,-76.4906869490865,"V",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4,4,0
"152439","HA SCD-3101 Jarrettsville Pike","3101 Jarrettsville Pike","Monkton,MD,21111","Baltimore","Nontidal Wetlands",2018-02-08,"16-NT-0149",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection,Refer to Others (See Findings)","N",39.549577509193,-76.5276879205304,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"159501","312 Quail Run Dr. SFH",", 312 Quail Run Dr.","Centreville,MD,21617","Queen Anne's","Sediment_Erosion",2018-02-08,"18-QA-0045",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.0621360110029,-76.078298993726,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,1
"150815","Building 845 Draiange and Drywall repair","Chisholm Ave, 39.108829,-76.725286","Fort George G. Meade,MD,20755","Anne Arundel","State_federal SWM",2018-06-15,"16-SF-0092",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",39.1098960677463,-76.7272578093404,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,0
"160344","Cunningham property","155 Dartmouth Drive","Hagerstown,MD,21742","Washington","Sediment_Erosion",2018-06-08,NA,NA,"18-1068",NA,"Complete","Satisfactory/Compliance","Close File","N",39.6288980076591,-77.6902050231313,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"156796","PNC Reese Road Decommisioning","Reese Rd, 39.108463, -76.737434","Fort George G. Meade,MD,20755","Anne Arundel","State_federal SWM",2018-05-29,"17-SF-0169",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Close File","N",39.1152862998556,-76.7417253997734,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,0
"160231","Eugene Ward","7355 Sawmill Rd.","Lusby,MD,20657","Calvert","Sediment_Erosion",2018-02-08,NA,NA,"18-2284",NA,"Active","Satisfactory/Compliance","Close File","N",38.437390019719,-76.4732690235625,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"95316","Clements, Bob/pier","43673 Potomac Shores Rd","Leonardtown,MD,20650","St. Mary's","Tidal Wetlands",2018-02-14,"99-PR-0898",NA,"18-2277",NA,"Complete","Noncompliance","Additional Investigation Required,Refer to Others (See Findings)","N",38.1988639798073,-76.5659059843186,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1,2,1
"158220","Kenneth and Jane Cunningham","13525 S View Rd","Newburg,MD,20664","Charles","Tidal Wetlands",2018-05-09,"17-GL-0822",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.3409140207244,-76.9644740300743,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,1
"118947","Schulz Development LLC-The Big Owl","3015 Kent Narrows Way","Grasonville,MD,21638","Queen Anne's","Sediment_Erosion",2019-07-10,"18-QA-0014",NA,NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",38.9692522833112,-76.245293477509,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4,11,1
"154695","James Steele","10720 Chapel Rd.","Cordova,MD,21625","Talbot","Sediment_Erosion",2018-02-08,"17-TA-0035",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.8431129832065,-75.9921060392701,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"155538","PG DEP-Tinkers Creek, Site 6-TMDL Trust Fund Project","Behind 7208 Allentown Road","Fort Washington,MD,20744","Prince George's","NPDES Construction Activity",2018-02-09,"17-NT-0023","MDRCQ034K",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.7875967050193,-76.9300477101847,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"134960","Jamaica Point LLC","2293 Jamaica Point Rd","Trappe,MD,21673","Talbot","Sediment_Erosion",2018-02-09,"17-TA-0091",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.6106960095684,-75.9884100387129,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"103995","BA Rec and Parks-Inverness Park","Inverton Road","Dundalk,MD,21222","Baltimore","NPDES Construction Activity",2018-06-14,"16-WL-0240","MDRCC03AA",NA,NA,"Inactive","Corrective Actions Required","Continue Routine Inspection","N",39.2601742795549,-76.4886582100185,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",2,4,1
"161558","Miller Property","696 Dorsey Hotel Road","Grantsville,MD,21536","Garrett","Sediment_Erosion",2018-02-09,NA,NA,"18-1065",NA,"Active - No work today","Noncompliance","Additional Investigation Required,Continue Routine Inspection","N",39.7055959837689,-79.1474490146732,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1,2,1
"22182","Mountaire Farms, Inc. - Westover Feed Mill","30607 Revells Neck Rd","Westover,MD,21871","Somerset","NPDES Industrial Stormwater",2018-02-09,"12-SW-3139",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",38.1492859864661,-75.6934340181975,"V",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4,2,0
"36110","East West Auto Parts","7249 Gaither Rd","Sykesville,MD,21784","Carroll","NPDES Industrial Stormwater",2018-02-09,NA,NA,NA,NA,"Active","Noncompliance","Additional Investigation Required,Refer to Others (See Findings)","N",39.3743339924564,-76.9879039638749,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"160235","PAF 18-3065/Construction with Sediment Discharge","4831 West Lane","Bethesda,MD,20814","Montgomery","NPDES Construction Activity",2018-02-09,NA,NA,"18-3065",NA,"Active","Additional Investigation Required","Refer to Others (See Findings)","N",38.9839900185669,-77.0977179597249,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"3237","Venator Materials Corporation","7011 Muirkirk Road","Beltsville,MD,20705","Prince George's","NPDES Industrial Stormwater",2018-02-09,"12SW1926A",NA,NA,NA,"Inactive","Additional Investigation Required","Continue Routine Inspection","N",39.060982409544,-76.8850671487006,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,1,0
"105067","Health Sciences Facility III - Univ of MD, Baltimore","666 W Baltimore St","Baltimore,MD,21201","Baltimore City","NPDES Industrial Minor Surface Water",2018-02-09,"13-DP-3806",NA,NA,NA,"Inactive","Satisfactory/Compliance","Additional Investigation Required","N",39.2891550880541,-76.6259601945234,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"157670","Aberdeen Proving Ground Maryland Building 250 Water Treatment Plant","APG, 39.4746 -76.1198","Aberdeen Proving Ground,MD,21005","Harford","NPDES Construction Activity",2020-01-27,"13-NT-0335,13-SF-0335","MDRCMF08",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.4981678997191,-76.1509130996871,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,19,1
"160287","Havre de Grace Middle / High Replacement","451 Lewis Lane","Havre De Grace,MD,21078","Harford","Sediment_Erosion",2021-03-09,NA,NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.5434821542396,-76.1028294059705,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,10,1
"132994","SM DPW and T, Richard Lord and Nancy Zearfoss","137145 Gibson Rd","Bushwood,MD,20618","St. Mary's","Tidal Wetlands",2018-02-12,"11-WL-0418",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.2551644999867,-76.7933277791866,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"152397","BA Rec and Parks-Coxs Point Park","820 Riverside Dr","Essex,MD,21221","Baltimore","NPDES Construction Activity",2019-10-30,"16-WL-0390","MDRCC0370",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.2949649965227,-76.4654870125793,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,1
"23193","Waste Management Of Maryland - Southern Maryland","Theodore Green Blvd","White Plains,MD,20695","Charles","NPDES Industrial Stormwater",2019-07-03,"12SR1220",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",38.5911199456852,-76.9479098804644,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2,3,0
"158598","Jamie L. Roberts Stadium","near Mattapany Rd, 38.1873 -76.4199","Lexington Park,MD,20653","St. Mary's","State_federal SWM",2020-01-03,"18-SF-0038","MDRCTSOKY",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.1935978066048,-76.4065507395758,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,12,0
"105089","Demarr Road, LLC","10745 Demarr Rd","White Plains,MD,20695","Charles","NPDES Industrial Stormwater",2018-03-16,"12SW2371",NA,NA,NA,"Active","Noncompliance","Additional Investigation Required","N",38.5885839572925,-76.938594285391,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,2,0
"33395","Andrew's Auto Parts","4840 Crain Hwy","White Plains,MD,20695","Charles","NPDES Industrial Stormwater",2018-02-12,"12SR0976",NA,NA,NA,"Active","Additional Investigation Required","Additional Investigation Required","N",38.5788690010227,-76.9585360384855,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,1,0
"160460","PAF 18-3064","9051 Dunloggin Ct","Ellicott City,MD,21042","Howard","NPDES Construction Activity",2018-05-16,NA,NA,"PAF 18-3064",NA,"Inactive","Satisfactory/Compliance","Close File","Y",39.2696770045513,-76.820492966329,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,24,1
"108374","Weis Markets, Havre De Grace #193","943 Pulaski Highway","Havre De Grace,MD,21078","Harford","Sediment_Erosion",2019-05-07,"18-HA-0007",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",39.5477789962669,-76.1065630225819,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,4,1
"44","Northrop Grumman Systems Corporation - BWI","7323 Aviation Boulevard","Linthicum,MD,21090","Anne Arundel","NPDES Industrial Stormwater",2018-02-14,"11-HT-5202,12-SR-2533",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",39.1847029881105,-76.687632005552,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,0
"154259","Bob and Mary Helen Strauch","988 Crows Point Rd","Swanton,MD,21561","Garrett","Waterway Construction",2018-02-14,"16-NT-3259",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","Y",39.475869014579,-79.27468303541,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,0
"70330","Remco Properties and JDC Easton-Waterside Village","Marlboro Ave, betwn MD 33 and Commerce Dr","Easton,MD,21601","Talbot","Nontidal Wetlands",2019-05-30,"14-NT-2101,18-TA-0036","MDRCU03C4",NA,NA,"Active - No work today","Satisfactory/Compliance","Close File","N",38.7832200522194,-76.0850499462739,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4,11,1
