"SiteNo","SiteName","StreetAddress","CityStateZip","County","InspectionType","InspectionDate","PermitNo","NPDESNo","ComplaintTrackingNo","InspectionReason","SiteStatus","SiteCondition","RecommendedActions","ComplianceAssist","Latitude","Longitude","Type","EnforcementAction","EnforcementActionNo","EnforcementActionIssued","CaseClosed","Media","Program","EnfIssue","ResolvedDate","ViolationSNCDate","MarkerShape","MarkerSize","InspectionCount","Construction"
"156802","11412 Englewood Drive","11412 Englewood Drive","Hagerstown,MD,21740","Washington","Sediment_Erosion",2017-06-26,"17-WA-0054",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","Y",39.6248712787119,-77.7521615785454,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"156986","Joe Friend","121 Waterwheel Road","Oakland,MD,21550","Garrett","Waterway Construction",2019-10-23,NA,NA,"20-1047",NA,"Active","Noncompliance","Continue Routine Inspection","N",39.4939010026999,-79.3370540339703,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,2,0
"156665","MNCPPC-Wooden Bridge Road Water Main Emergency Repair","30 yards past the dead end of Wooden Bridge Rd in Watts Branch, East of 9501 Overlea Dr, 39.062578, -77.194427","Rockville,MD,20850","Montgomery","Waterway Construction",2017-04-04,NA,NA,"17-3089",NA,"Active - No work today","Additional Investigation Required","Additional Investigation Required,Refer to Others (See Findings)","N",NA,NA,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,0
"136980","H H Hunt-Abberly Square","Abberly Square north of Holton Woods Drive and Western Parkway","Waldorf,MD,20601","Charles","Nontidal Wetlands",2020-01-07,"14-NT-0240","MDRCI00T8",NA,NA,"Active","Satisfactory/Compliance","Additional Investigation Required,Continue Routine Inspection","N",38.6466750003312,-76.8851150001592,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,12,1
"156664","PAF 17-2405/2116 Mark Street","2116 Mark Street","Bel Air,MD,21015","Harford","NPDES Industrial Minor Surface Water",2017-08-14,NA,NA,"17-2405",NA,"Active","Satisfactory/Compliance","Close File","N",39.5644260012469,-76.3074449709329,"V",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4,5,0
"150034","MO DO-Kingstead Road","11600 Kingstead Road","Clarksburg,MD,20871","Montgomery","Nontidal Wetlands",2017-08-07,"15-NT-3265",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.2690618266235,-77.2370590552461,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,1
"154962","Hawks Feather","Bailiff Road","North East,MD,21901","Cecil","NPDES Construction Activity",2018-02-01,"17CE0045","MDRCH02RJ",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",39.631491216309,-75.9717964404399,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4,16,1
"75318","F & S Transportation MD, Inc","4223 Hanover Pike","Manchester,MD,21102","Carroll","NPDES Industrial Stormwater",2017-04-04,"12SW2527",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.6906290059084,-76.898096984623,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"152478","Harold Coombs Jr","13599 South View Rd","Newburg,MD,20664","Charles","Tidal Wetlands",2017-10-06,"16-GL-0425",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.3392769928714,-76.9617359974277,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"153145","Thomas and Sheri Raleigh","13499 South View Drive","Newburg,MD,20664","Charles","Tidal Wetlands",2020-01-22,"16-GL-0607",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.3414600179605,-76.9653780182195,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"109445","Sherwood Forest Club Inc","Community property along Beach Drive","Sherwood Forest,MD,21405","Anne Arundel","Tidal Wetlands",2017-04-04,"12-WL-0455",NA,"17-2390",NA,"Active - No work today","Satisfactory/Compliance","Close File","N",39.0292833371429,-76.5360297804633,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"138354","AA DPW-Science Drive","Science Drive","Linthicum,MD,21090","Anne Arundel","Waterway Construction",2017-04-04,"12-NT-0315",NA,NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",39.1933474995532,-76.6849682644777,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"156970","ASTEC Metalworks","500A Earls Rd","Middle River,MD,21220","Baltimore","NPDES Industrial Stormwater",2019-03-11,"12-SW-3336",NA,NA,NA,"Active","Corrective Actions Required","Continue Routine Inspection","N",39.359277219224,-76.3928055473449,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,7,0
