Site No,Site Name,Street Address,City,State,Zip,County,Inspection Type,Inspection Date,Permit No,NPDES No,Complaint Tracking No,Inspection Reason,Site Status,Site Condition,Recommended Actions,Compliance Assist?,ObjectId
136901,Casselman River Partners LLC,"From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend",Grantsville,MD,21536,Garrett,Sediment_Erosion,7/7/2016 12:00:00 AM,"15-NT-3066,16-GA-0001",,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,Y,1
136901,Casselman River Partners LLC,"From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend",Grantsville,MD,21536,Garrett,Waterway Construction,7/7/2016 12:00:00 AM,"15-NT-3066,16-GA-0001",,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,Y,2
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,NPDES Construction Activity,7/11/2016 12:00:00 AM,16-SF-0044,MDRCPS0DD,,,Active,Satisfactory/Compliance,Continue Routine Inspection,Y,3
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,State_federal SWM,7/11/2016 12:00:00 AM,16-SF-0044,MDRCPS0DD,,,Active,Satisfactory/Compliance,Continue Routine Inspection,Y,4
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,State_federal SWM,7/19/2016 12:00:00 AM,16-SF-0044,MDRCPS0DD,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,5
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,NPDES Construction Activity,7/19/2016 12:00:00 AM,16-SF-0044,MDRCPS0DD,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,6
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,Nontidal Wetlands,7/20/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,7
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,NPDES Construction Activity,7/20/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,8
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,NPDES Construction Activity,7/21/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,9
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,Nontidal Wetlands,7/21/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,10
136734,Town of Loch Lynn Heights-Wetland Boardwalk,"Starts at the end of W 2nd travles along Little Youghiogheny River then connects to existing trails, around Loch Lynn ball park",Loch Lynn Heights,MD,21550,Garrett,Nontidal Wetlands,7/26/2016 12:00:00 AM,"12-NT-3165,14-GA-0089",MDRCL00M3,,,Complete,Satisfactory/Compliance,Close File,N,11
136734,Town of Loch Lynn Heights-Wetland Boardwalk,"Starts at the end of W 2nd travles along Little Youghiogheny River then connects to existing trails, around Loch Lynn ball park",Loch Lynn Heights,MD,21550,Garrett,Sediment_Erosion,7/26/2016 12:00:00 AM,"12-NT-3165,14-GA-0089",MDRCL00M3,,,Complete,Satisfactory/Compliance,Close File,N,12
136734,Town of Loch Lynn Heights-Wetland Boardwalk,"Starts at the end of W 2nd travles along Little Youghiogheny River then connects to existing trails, around Loch Lynn ball park",Loch Lynn Heights,MD,21550,Garrett,NPDES Construction Activity,7/26/2016 12:00:00 AM,"12-NT-3165,14-GA-0089",MDRCL00M3,,,Complete,Satisfactory/Compliance,Close File,N,13
131871,Carroll County Bureau of Building Construction N side of Woodbine Road between Braddock and Bethel,"North side of Woodbine Road between , intersections with Braddock and Bethel Roads, 7200 ft (1.36mi) south of intersection of Woodbine Road and MD 26 (Liverty Road)",Woodbine,MD,,Howard,Nontidal Wetlands,7/27/2016 12:00:00 AM,10-NT-3165,,,,Complete,Satisfactory/Compliance,Close File,N,14
145066,UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center),"0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center",College Park,MD,20740,Prince George's,NPDES Construction Activity,8/2/2016 12:00:00 AM,14-SF-0181,MDRCQS05B,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,15
145066,UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center),"0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center",College Park,MD,20740,Prince George's,State_federal SWM,8/2/2016 12:00:00 AM,14-SF-0181,MDRCQS05B,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,16
137894,Towson University - Osler Drive,"Towson University - Osler Drive, adjacent to the driveway to the Union Garage off of Osler Drive, just south of intersection, with Towsontown Bld",Towson,MD,21284,Baltimore,Waterway Construction,8/5/2016 12:00:00 AM,13-NT-0048,,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,17
144271,FR DPW-Bridge No F-20-04-Lewistown Road,"Lewistown Road over Fishing Creek, Lewistown Road approximately 0.5 miles east of Hessong Bridge Road.",Thurmont,MD,21788,Frederick,Waterway Construction,8/8/2016 12:00:00 AM,14-NT-3253,,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,18
152348,Bowman Oakridge Mills,"situate along the E side of MD Rte 63, N of the intersection with Oakridge Dr,, across from E. Russel Hicks Middle School",Hagerstown,MD,21740,Washington,NPDES Construction Activity,8/15/2016 12:00:00 AM,16-WA-0116,MDRCV02CF,,,Active,Noncompliance,Continue Routine Inspection,N,19
152348,Bowman Oakridge Mills,"situate along the E side of MD Rte 63, N of the intersection with Oakridge Dr,, across from E. Russel Hicks Middle School",Hagerstown,MD,21740,Washington,Sediment_Erosion,8/15/2016 12:00:00 AM,16-WA-0116,MDRCV02CF,,,Active,Noncompliance,Continue Routine Inspection,N,20
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,NPDES Construction Activity,8/15/2016 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,21
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,State_federal SWM,8/15/2016 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,22
139689,MR Hillcrest 1 Capital LLC-Monument Village at College Park West,"Cherokee Street and Autoville Drive intersection, Immediately west of the intersection between Cherokee Street and Autoville Drive",College Park,MD,20740,Prince George's,Nontidal Wetlands,8/17/2016 12:00:00 AM,13-NT-0146,,,,Active - No work today,Noncompliance,Continue Routine Inspection,N,23
139689,MR Hillcrest 1 Capital LLC-Monument Village at College Park West,"Cherokee Street and Autoville Drive intersection, Immediately west of the intersection between Cherokee Street and Autoville Drive",College Park,MD,20740,Prince George's,Waterway Construction,8/17/2016 12:00:00 AM,13-NT-0146,,,,Active - No work today,Noncompliance,Continue Routine Inspection,N,24
136901,Casselman River Partners LLC,"From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend",Grantsville,MD,21536,Garrett,Waterway Construction,8/26/2016 12:00:00 AM,"15-NT-3066,16-GA-0001",,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,25
136901,Casselman River Partners LLC,"From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend",Grantsville,MD,21536,Garrett,Sediment_Erosion,8/26/2016 12:00:00 AM,"15-NT-3066,16-GA-0001",,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,26
139689,MR Hillcrest 1 Capital LLC-Monument Village at College Park West,"Cherokee Street and Autoville Drive intersection, Immediately west of the intersection between Cherokee Street and Autoville Drive",College Park,MD,20740,Prince George's,Nontidal Wetlands,8/31/2016 12:00:00 AM,13-NT-0146,,,,Active - No work today,Satisfactory/Compliance,Continue Routine Inspection,Y,27
139689,MR Hillcrest 1 Capital LLC-Monument Village at College Park West,"Cherokee Street and Autoville Drive intersection, Immediately west of the intersection between Cherokee Street and Autoville Drive",College Park,MD,20740,Prince George's,Waterway Construction,8/31/2016 12:00:00 AM,13-NT-0146,,,,Active - No work today,Satisfactory/Compliance,Continue Routine Inspection,Y,28
137894,Towson University - Osler Drive,"Towson University - Osler Drive, adjacent to the driveway to the Union Garage off of Osler Drive, just south of intersection, with Towsontown Bld",Towson,MD,21284,Baltimore,Waterway Construction,9/2/2016 12:00:00 AM,13-NT-0048,,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,29
145066,UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center),"0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center",College Park,MD,20740,Prince George's,NPDES Construction Activity,9/15/2016 12:00:00 AM,14-SF-0181,MDRCQS05B,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,30
145066,UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center),"0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center",College Park,MD,20740,Prince George's,State_federal SWM,9/15/2016 12:00:00 AM,14-SF-0181,MDRCQS05B,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,31
138104,City of Frederick-Christophers Crossing,"0.7 mi from the intersection the Opossumtown Pike and Poole Jones Rd. 250 yds off of Poole Jones Rd, along stream",Frederick,MD,21702,Frederick,Waterway Construction,9/19/2016 12:00:00 AM,15-NT-3032,,,,Complete,Satisfactory/Compliance,Close File,N,32
139689,MR Hillcrest 1 Capital LLC-Monument Village at College Park West,"Cherokee Street and Autoville Drive intersection, Immediately west of the intersection between Cherokee Street and Autoville Drive",College Park,MD,20740,Prince George's,Nontidal Wetlands,9/26/2016 12:00:00 AM,13-NT-0146,,,,Complete,Satisfactory/Compliance,Close File,Y,33
152347,Dollar General Boonsboro,"Situate along the eastern side of Old National Pike (MD Alt 40),, NE of the MD Alt 40 & MD Rte 68 intersection",Boonsboro,MD,21713,Washington,Sediment_Erosion,10/4/2016 12:00:00 AM,16-WA-0094,MDRCV02CD,,,Complete,Satisfactory/Compliance,Continue Routine Inspection,N,34
152347,Dollar General Boonsboro,"Situate along the eastern side of Old National Pike (MD Alt 40),, NE of the MD Alt 40 & MD Rte 68 intersection",Boonsboro,MD,21713,Washington,NPDES Construction Activity,10/4/2016 12:00:00 AM,16-WA-0094,MDRCV02CD,,,Complete,Satisfactory/Compliance,Continue Routine Inspection,N,35
141800,Fairwind Power Partners,"near 3641 King Wildesen Road, along Backbone Mountain south of Oakland, MD. The site is accessable from King Wildesen Road.",Oakland,MD,21550,Garrett,Waterway Construction,10/11/2016 12:00:00 AM,"14-NT-3066,15-GA-0131",MDRCL01KE,,,Complete,Satisfactory/Compliance,Close File,N,36
141800,Fairwind Power Partners,"near 3641 King Wildesen Road, along Backbone Mountain south of Oakland, MD. The site is accessable from King Wildesen Road.",Oakland,MD,21550,Garrett,Sediment_Erosion,10/11/2016 12:00:00 AM,"14-NT-3066,15-GA-0131",MDRCL01KE,,,Complete,Satisfactory/Compliance,Close File,N,37
141800,Fairwind Power Partners,"near 3641 King Wildesen Road, along Backbone Mountain south of Oakland, MD. The site is accessable from King Wildesen Road.",Oakland,MD,21550,Garrett,NPDES Construction Activity,10/11/2016 12:00:00 AM,"14-NT-3066,15-GA-0131",MDRCL01KE,,,Complete,Satisfactory/Compliance,Close File,N,38
142582,City of Frederick-Waterford Park,"Waterford Park, Located on Rosemont Avenue, West of Frederick Freeway, MD 15, across from Biggs Avenue",Frederick,MD,21701,Frederick,Waterway Construction,10/12/2016 12:00:00 AM,14-NT-3122,MDRCK01M4,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,39
142582,City of Frederick-Waterford Park,"Waterford Park, Located on Rosemont Avenue, West of Frederick Freeway, MD 15, across from Biggs Avenue",Frederick,MD,21701,Frederick,NPDES Construction Activity,10/12/2016 12:00:00 AM,14-NT-3122,MDRCK01M4,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,40
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,NPDES Construction Activity,10/20/2016 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,41
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,State_federal SWM,10/20/2016 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,42
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,Nontidal Wetlands,10/25/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Inactive,Additional Investigation Required,Continue Routine Inspection,N,43
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,NPDES Construction Activity,10/25/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Inactive,Additional Investigation Required,Continue Routine Inspection,N,44
139123,WSSC-Piney Branch Road,"Piney Branch Road, Northwest branch of the Anacostia River, Rte 650 south to Rt 320, turn right for 100 ft.",Adelphi,MD,20783,Prince George's,Nontidal Wetlands,11/1/2016 12:00:00 AM,12-NT-0443,,,,Inactive,Additional Investigation Required,Additional Investigation Required,Y,45
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,NPDES Construction Activity,11/7/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Active - No work today,Satisfactory/Compliance,Continue Routine Inspection,N,46
146044,HO DPW - Bonnie Branch Road - Phase II,"Bonnie Branch Road, Meeting location on shoulder of Bonnie Branch Road approx. 800 ft SW of intersection of College Ave",Ellicott City,MD,21043,Howard,Nontidal Wetlands,11/7/2016 12:00:00 AM,15-NT-3245,MDRCN020I,,,Active - No work today,Satisfactory/Compliance,Continue Routine Inspection,N,47
137915,CH Govt-St Charles Parkway and Billingsley Road,"Billingsley Road and St. Charles Parkway, 1.5 acres at southeast corner of Billngsley Road and St. Charles Parkway",Saint Charles,MD,20602,Charles,Nontidal Wetlands,11/9/2016 12:00:00 AM,13-NT-0267,,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,48
137894,Towson University - Osler Drive,"Towson University - Osler Drive, adjacent to the driveway to the Union Garage off of Osler Drive, just south of intersection, with Towsontown Bld",Towson,MD,21284,Baltimore,Waterway Construction,11/10/2016 12:00:00 AM,13-NT-0048,,,,Active - No work today,Satisfactory/Compliance,Continue Routine Inspection,N,49
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,NPDES Construction Activity,11/21/2016 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Complete,Satisfactory/Compliance,"Close File,Continue Routine Inspection",N,50
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,State_federal SWM,11/21/2016 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Complete,Satisfactory/Compliance,"Close File,Continue Routine Inspection",N,51
152347,Dollar General Boonsboro,"Situate along the eastern side of Old National Pike (MD Alt 40),, NE of the MD Alt 40 & MD Rte 68 intersection",Boonsboro,MD,21713,Washington,Sediment_Erosion,11/21/2016 12:00:00 AM,16-WA-0094,MDRCV02CD,,,Complete,Satisfactory/Compliance,Close File,N,52
152347,Dollar General Boonsboro,"Situate along the eastern side of Old National Pike (MD Alt 40),, NE of the MD Alt 40 & MD Rte 68 intersection",Boonsboro,MD,21713,Washington,NPDES Construction Activity,11/21/2016 12:00:00 AM,16-WA-0094,MDRCV02CD,,,Complete,Satisfactory/Compliance,Close File,N,53
141280,MO DEP-Gunners Lake,"Wisteria Drive, North of Wisteria Drive, approximately 2/3 mi. southeast of the intersectionof Wisteria Dr and MD119",Germantown,MD,20874,Montgomery,Waterway Construction,11/28/2016 12:00:00 AM,14-NT-3052,MDRCP01AR,,,Complete,Satisfactory/Compliance,Additional Investigation Required,N,54
141280,MO DEP-Gunners Lake,"Wisteria Drive, North of Wisteria Drive, approximately 2/3 mi. southeast of the intersectionof Wisteria Dr and MD119",Germantown,MD,20874,Montgomery,NPDES Construction Activity,11/28/2016 12:00:00 AM,14-NT-3052,MDRCP01AR,,,Complete,Satisfactory/Compliance,Additional Investigation Required,N,55
141280,MO DEP-Gunners Lake,"Wisteria Drive, North of Wisteria Drive, approximately 2/3 mi. southeast of the intersectionof Wisteria Dr and MD119",Germantown,MD,20874,Montgomery,Nontidal Wetlands,11/28/2016 12:00:00 AM,14-NT-3052,MDRCP01AR,,,Complete,Satisfactory/Compliance,Additional Investigation Required,N,56
150515,Mattawoman Energy- Laterals,"Reclaimed Water along Farmington Berry Accokeek Brandywine Rds & pump station., Gas Line between ex interstate gas line south in Charles County and MEPP & gate station., Transmission between MEPP Brandywine Rd to Cherry Tree Crossing Rd & switchyard.",Brandywine,MD,21037,Prince George's,NPDES Construction Activity,12/8/2016 12:00:00 AM,,MDRCY01XU,,,Active,Noncompliance,"Continue Routine Inspection,Refer to Others (See Findings)",N,57
137646,BGE,"Gwynns Falls N of Washington Blvd, Gwynns Falls x-ing is located 100 yards SE of CNX railway bridge over Gwynns Falls, W of Carroll, Park Golf Course, N Washington Blvd",Baltimore City,MD,21230,Baltimore City,Nontidal Wetlands,12/8/2016 12:00:00 AM,13-NT-0095,,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,58
139866,BGE-Westport to Wilkens,"Gwynns Falls north of Washington Blvd, south of Wilkens Ave, West on WIlkens, left on S.Dukeland, left on Wilmarco Av,. Site is on left of the Trail 100 yds past, railway bridge",Baltimore,MD,21201,Baltimore City,Nontidal Wetlands,12/8/2016 12:00:00 AM,13-NT-0095,,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,59
136901,Casselman River Partners LLC,"From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend",Grantsville,MD,21536,Garrett,Sediment_Erosion,12/9/2016 12:00:00 AM,"15-NT-3066,16-GA-0001",,,,Complete,Satisfactory/Compliance,Close File,N,60
136901,Casselman River Partners LLC,"From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend",Grantsville,MD,21536,Garrett,Waterway Construction,12/9/2016 12:00:00 AM,"15-NT-3066,16-GA-0001",,,,Complete,Satisfactory/Compliance,Close File,N,61
139123,WSSC-Piney Branch Road,"Piney Branch Road, Northwest branch of the Anacostia River, Rte 650 south to Rt 320, turn right for 100 ft.",Adelphi,MD,20783,Prince George's,Nontidal Wetlands,1/20/2017 12:00:00 AM,12-NT-0443,,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,62
150515,Mattawoman Energy- Laterals,"Reclaimed Water along Farmington Berry Accokeek Brandywine Rds & pump station., Gas Line between ex interstate gas line south in Charles County and MEPP & gate station., Transmission between MEPP Brandywine Rd to Cherry Tree Crossing Rd & switchyard.",Brandywine,MD,21037,Prince George's,NPDES Construction Activity,1/20/2017 12:00:00 AM,,MDRCY01XU,,,Active,Satisfactory/Compliance,Continue Routine Inspection,Y,63
137894,Towson University - Osler Drive,"Towson University - Osler Drive, adjacent to the driveway to the Union Garage off of Osler Drive, just south of intersection, with Towsontown Bld",Towson,MD,21284,Baltimore,Waterway Construction,1/27/2017 12:00:00 AM,13-NT-0048,,,,Active - No work today,Satisfactory/Compliance,Continue Routine Inspection,N,64
142034,East Campus Visitor Control Point - M,"Applewood and Parks Golf Courses at Fort George G Meade,, off of Rockenbach Rd, 39.1113708 -76.7538287",Fort George G. Meade,MD,20755,Anne Arundel,State_federal SWM,2/3/2017 12:00:00 AM,14-SF-0063,,,,Active - No work today,Noncompliance,Continue Routine Investigation,N,65
142034,East Campus Visitor Control Point - M,"Applewood and Parks Golf Courses at Fort George G Meade,, off of Rockenbach Rd, 39.1113708 -76.7538287",Fort George G. Meade,MD,20755,Anne Arundel,NPDES Construction Activity,2/3/2017 12:00:00 AM,14-SF-0063,,,,Active - No work today,Noncompliance,Continue Routine Investigation,N,66
151324,Pearce Creek Water Service Area Transmission Main and Distribution System,"project is located along Crystal Beach Rd (Rte 282), Grove Neck Rd, Pond Neck Rd,, and streets within West View Shores, Bay View Estates, Sunset Point",Cecilton,MD,21919,Cecil,Sediment_Erosion,2/7/2017 12:00:00 AM,,MDRCH0230,17-4165,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,67
151324,Pearce Creek Water Service Area Transmission Main and Distribution System,"project is located along Crystal Beach Rd (Rte 282), Grove Neck Rd, Pond Neck Rd,, and streets within West View Shores, Bay View Estates, Sunset Point",Cecilton,MD,21919,Cecil,NPDES Construction Activity,2/7/2017 12:00:00 AM,,MDRCH0230,17-4165,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,68
139123,WSSC-Piney Branch Road,"Piney Branch Road, Northwest branch of the Anacostia River, Rte 650 south to Rt 320, turn right for 100 ft.",Adelphi,MD,20783,Prince George's,Nontidal Wetlands,2/10/2017 12:00:00 AM,12-NT-0443,,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,69
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,Nontidal Wetlands,2/14/2017 12:00:00 AM,"15-NT-3223,16-SF-0044",MDRCPS0DD,,,Active,Noncompliance,Continue Routine Inspection,N,70
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,State_federal SWM,2/14/2017 12:00:00 AM,"15-NT-3223,16-SF-0044",MDRCPS0DD,,,Active,Noncompliance,Continue Routine Inspection,N,71
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,NPDES Construction Activity,2/14/2017 12:00:00 AM,"15-NT-3223,16-SF-0044",MDRCPS0DD,,,Active,Noncompliance,Continue Routine Inspection,N,72
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,State_federal SWM,2/21/2017 12:00:00 AM,"15-NT-3223,16-SF-0044",MDRCPS0DD,,,Active,Compliance Assistance Rendered,Continue Routine Inspection,Y,73
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,NPDES Construction Activity,2/21/2017 12:00:00 AM,"15-NT-3223,16-SF-0044",MDRCPS0DD,,,Active,Compliance Assistance Rendered,Continue Routine Inspection,Y,74
149126,UM Shady Grove/Bio Science and Engineering Bldg.,"Facility Management Dept of Design and Construction, Attn: Christopher Y. Hoe, P.E., 0600 Service Buillding",College Park,MD,20742,Prince George's,Nontidal Wetlands,2/21/2017 12:00:00 AM,"15-NT-3223,16-SF-0044",MDRCPS0DD,,,Active,Compliance Assistance Rendered,Continue Routine Inspection,Y,75
151365,West Road Poultry Houses,"on the NE corner of N West Rd and Naylor Mill Rd,, approximately 1,200 feet N from its intersection to Rte 50,, Salisbury Bypass, Naylor Mill Rd off-ramp intersection",Salisbury,MD,21801,Wicomico,NPDES Construction Activity,2/23/2017 12:00:00 AM,16-WI-0153,MDRCW0243,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,Y,76
151365,West Road Poultry Houses,"on the NE corner of N West Rd and Naylor Mill Rd,, approximately 1,200 feet N from its intersection to Rte 50,, Salisbury Bypass, Naylor Mill Rd off-ramp intersection",Salisbury,MD,21801,Wicomico,Sediment_Erosion,2/23/2017 12:00:00 AM,16-WI-0153,MDRCW0243,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,Y,77
145066,UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center),"0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center",College Park,MD,20740,Prince George's,State_federal SWM,3/2/2017 12:00:00 AM,14-SF-0181,MDRCQS05B,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,78
145066,UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center),"0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center",College Park,MD,20740,Prince George's,NPDES Construction Activity,3/2/2017 12:00:00 AM,14-SF-0181,MDRCQS05B,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,79
144271,FR DPW-Bridge No F-20-04-Lewistown Road,"Lewistown Road over Fishing Creek, Lewistown Road approximately 0.5 miles east of Hessong Bridge Road.",Thurmont,MD,21788,Frederick,Waterway Construction,3/17/2017 12:00:00 AM,14-NT-3253,,,,Complete,Satisfactory/Compliance,Continue Routine Inspection,N,80
150623,St Charles Community LLC-Village of Wooded Glen Neighborhood 2,"S side of St. Charles Pkwy, 2 miles S of the intersection of St. Charles Parkway and Bill, 2 miles S of the intersection of St. Charles Pkwy and, Billingsley Rd",Saint Charles,MD,20602,Charles,NPDES Construction Activity,3/28/2017 12:00:00 AM,,MDRCI01WE,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,81
139123,WSSC-Piney Branch Road,"Piney Branch Road, Northwest branch of the Anacostia River, Rte 650 south to Rt 320, turn right for 100 ft.",Adelphi,MD,20783,Prince George's,Nontidal Wetlands,4/3/2017 12:00:00 AM,12-NT-0443,,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,82
