Site No,Site Name,Street Address,City,State,Zip,County,Inspection Type,Inspection Date,Permit No,NPDES No,Complaint Tracking No,Inspection Reason,Site Status,Site Condition,Recommended Actions,Compliance Assist?,ObjectId
152512,Demolition Plan for M.E.L.P.,"situated along the SE intersection of Mt. Aetna Rd and Eastern Blvd, and adjacent to the Antietam Creek",Hagerstown,MD,21740,Washington,NPDES Construction Activity,4/17/2018 12:00:00 AM,"13-DP-3794,15-WA-0145",MDRCV02DR,,,Active - No work today,Satisfactory/Compliance,Continue Routine Inspection,N,191
152512,Demolition Plan for M.E.L.P.,"situated along the SE intersection of Mt. Aetna Rd and Eastern Blvd, and adjacent to the Antietam Creek",Hagerstown,MD,21740,Washington,Sediment_Erosion,4/17/2018 12:00:00 AM,"13-DP-3794,15-WA-0145",MDRCV02DR,,,Active - No work today,Satisfactory/Compliance,Continue Routine Inspection,N,192
152512,Demolition Plan for M.E.L.P.,"situated along the SE intersection of Mt. Aetna Rd and Eastern Blvd, and adjacent to the Antietam Creek",Hagerstown,MD,21740,Washington,NPDES Industrial Minor Surface Water,4/17/2018 12:00:00 AM,"13-DP-3794,15-WA-0145",MDRCV02DR,,,Active - No work today,Satisfactory/Compliance,Continue Routine Inspection,N,193
159840,COLUMBIA GAS - CUMBERLAND STREET GAS LINE REPLACEMENT,"CUMBERLAND, CARROLL, SCHLEY, SARATOGA, MT. VIEW, TILGHMAN, SEDGEWICK, NIAGARA, MAGRUDER STREETS, PAW PAW WAY AND ESSEX PLACE",Cumberland,MD,21502,Allegany,Sediment_Erosion,4/18/2018 12:00:00 AM,18-AL-0039,,,,Active,Satisfactory/Compliance,Continue Routine Inspection,Y,194
157268,NIBC Hazardous Materials Storage,"First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St",Fort Detrick,MD,20875,Frederick,State_federal SWM,4/25/2018 12:00:00 AM,17-SF-0024,MDRCK02QS,,,Active,Noncompliance,Continue Routine Inspection,N,195
157268,NIBC Hazardous Materials Storage,"First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St",Fort Detrick,MD,20875,Frederick,NPDES Construction Activity,4/25/2018 12:00:00 AM,17-SF-0024,MDRCK02QS,,,Active,Noncompliance,Continue Routine Inspection,N,196
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,State_federal SWM,5/11/2018 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,197
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,NPDES Construction Activity,5/11/2018 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,198
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,Sediment_Erosion,5/11/2018 12:00:00 AM,17NT0281,MDRCH03FC,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,199
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,Nontidal Wetlands,5/11/2018 12:00:00 AM,17NT0281,MDRCH03FC,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,200
